"","Address","Arena","City","State  Abrv","State","Team","Gender Distinction","Conference","Capacity","Opened","Lat","Lon"
"345","Santa Clara, CA, Leavey Center","Leavey Center","Santa Clara","CA","California","Santa Clara",NA,"West Coast","4,500","1975",-121.9351697,37.3491535
"346","Bakersfield, CA, Icardo Center","Icardo Center","Bakersfield","CA","California","Cal State Bakersfield",NA,"WAC[k]","3,800","1989",-119.1026945,35.3475694
"347","Riverside, CA, CBU Events Center","CBU Events Center","Riverside","CA","California","California Baptist",NA,"WAC","5,050[18]","2017",-117.4223116,33.9268345
"348","Chicago, IL, Emil and Patricia Jones Convocation Center","Emil and Patricia Jones Convocation Center","Chicago","IL","Illinois","Chicago State",NA,"WAC","7,000","2007",-87.6084284,41.7165542
"349","Phoenix, AZ, GCU Arena","GCU Arena","Phoenix","AZ","Arizona","Grand Canyon",NA,"WAC","7,500","2011",-112.128912,33.5102029
"350","Las Cruces, NM, Pan American Center","Pan American Center","Las Cruces","NM","New Mexico","New Mexico State",NA,"WAC","12,482","1968",-106.7421707,32.2836754
"351","Seattle, WA, Redhawk Center","Redhawk Center","Seattle","WA","Washington","Seattle",NA,"WAC","999","1959",-122.31344,47.6075105
"352","Kansas City, MO, Municipal Auditorium","Municipal Auditorium","Kansas City","MO","Missouri","UMKC men","Men","WAC","9,987","1936",-94.586341,39.09787
"353","Orem, UT, UCCU Center","UCCU Center","Orem","UT","Utah","Utah Valley",NA,"WAC","8,500","1996",-111.7170346,40.2786424
"354","Edinburg, TX, UTRGV Fieldhouse","UTRGV Fieldhouse","Edinburg","TX","Texas","UTRGV",NA,"WAC","2,500","1969",-98.1698007,26.3067326
"355","Chapel Hill, NC, Carmichael Arena","Carmichael Arena","Chapel Hill","NC","North Carolina","North Carolina women","Women","ACC","8,010","1965",-79.0454614,35.9095693
"356","Raleigh, NC, Reynolds Coliseum","Reynolds Coliseum","Raleigh","NC","North Carolina","North Carolina State women","Women","ACC","9,500","1949",-78.669835,35.783648
"357","Memphis, TN, Elma Roane Fieldhouse","Elma Roane Fieldhouse","Memphis","TN","Tennessee","Memphis women","Women","The American","2,565","1951",-89.9359381,35.1182938
"358","Wichita, KS, Intrust Bank Arena","Intrust Bank Arena","Wichita","KS","Kansas","Wichita State men","Men","The American","15,004","2010",-97.3320351,37.6833635
"359","Philadelphia, PA, McGonigle Hall","McGonigle Hall","Philadelphia","PA","Pennsylvania","Temple women","Women","The American","3,900","1969",-75.1580357,39.9810622
"360","Hartford, CT, XL Center","XL Center","Hartford","CT","Connecticut","Connecticut",NA,"The American","16,294","1975",-72.6769853,41.768399
"361","Milwaukee, WI, Al McGuire Center","Al McGuire Center","Milwaukee","WI","Wisconsin","Marquette women","Women","Big East","4,000","2004",-87.9269242,43.039606
"362","Providence, RI, Alumni Hall","Alumni Hall","Providence","RI","Rhode Island","Providence women","Women","Big East","2,620","1955",-71.4368009,41.8461239
"363","Omaha, NE, D. J. Sokol Arena","D. J. Sokol Arena","Omaha","NE","Nebraska","Creighton women","Women","Big East","2,950","2009",-95.9404169,41.2661264
"364","Queens, NY, Carnesecca Arena","Carnesecca Arena","Queens","NY","New York","St. John's women","Women","Big East","5,602","1961",-73.7945776,40.7241294
"365","Washington, DC, McDonough Gymnasium","McDonough Gymnasium","Washington","DC","District of Columbia","Georgetown women","Women","Big East","2,500","1951",-77.0774817,38.9076379
"366","South Orange, NJ, Walsh Gymnasium","Walsh Gymnasium","South Orange","NJ","New Jersey","Seton Hall women","Women","Big East","2,600","1939",-74.2452536,40.741524
"367","Philadelphia, PA, Wells Fargo Center","Wells Fargo Center","Philadelphia","PA","Pennsylvania","Villanova men","Men","Big East","20,318","1996",-75.1636658,39.949358
"368","Moscow, ID, Memorial Gymnasium","Memorial Gymnasium","Moscow","ID","Idaho","Idaho Vandals",NA,"Big Sky","2,500","1928",-117.0139153,46.7265482
"369","Pocatello, ID, Reed Gym","Reed Gym","Pocatello","ID","Idaho","Idaho State women","Women","Big Sky","3,214","1951",-112.4283349,42.8656051
"370","North Charleston, SC, North Charleston Coliseum","North Charleston Coliseum","North Charleston","SC","South Carolina","Charleston Southern",NA,"Big South","11,475","1993",-80.0223438,32.8656466
"371","Boston, MA, Cabot Center","Cabot Center","Boston","MA","Massachusetts","Northeastern women","Women","Colonial","2,500","1954",-71.0896831,42.3393419
"372","Indianapolis, IN, The Jungle","The Jungle","Indianapolis","IN","Indiana","IUPUI women","Women","Horizon","1,215","1982",-86.1234625,39.7660883
"373","Green Bay, WI, Kress Events Center","Kress Events Center","Green Bay","WI","Wisconsin","Green Bay women","Women","Horizon","4,018","2007",-87.9164501,44.5299675
"374","Milwaukee, WI, Klotsche Center","Klotsche Center","Milwaukee","WI","Wisconsin","Milwaukee women","Women","Horizon","3,500","1977",-87.8796776,43.0795057
"375","Loudonville, NY, Alumni Recreation Center","Alumni Recreation Center","Loudonville","NY","New York","Siena women","Women","Metro Atlantic","4,000","1974",-73.6767568,42.7284324
"376","Peoria, IL, Renaissance Coliseum","Renaissance Coliseum","Peoria","IL","Illinois","Bradley women","Women","Missouri Valley","4,200","2010",-89.6178075,40.6990649
"377","Paradise, NV, Cox Pavilion","Cox Pavilion","Paradise","NV","Nevada","UNLV women","Women","Mountain West","2,500","2001",-115.143247,36.104244
"378","Boston, MA, Case Gym","Case Gym","Boston","MA","Massachusetts","Boston University",NA,"Patriot","1,800","1972",-71.1205462,42.3542903
"379","Lexington, KY, Memorial Coliseum","Memorial Coliseum","Lexington","KY","Kentucky","Kentucky women","Women","SEC","8,000","1950",-84.5005112,38.0394389
"380","Greensboro, NC, Fleming Gymnasium","Fleming Gymnasium","Greensboro","NC","North Carolina","UNC Greensboro women","Women","Southern","2,320","1989",-79.8128788,36.0693429
"381","Corpus Christi, TX, Dugan Wellness Center","Dugan Wellness Center","Corpus Christi","TX","Texas","Texas A&M–Corpus Christi Islanders",NA,"Southland","1,200","2008",-97.3244846,27.7112333
"382","Lafayette, LA, Earl K. Long Gymnasium","Earl K. Long Gymnasium","Lafayette","LA","Louisiana","Louisiana women","Women","Sun Belt","1,500","1939",-92.018978,30.2113668
"383","Seattle, WA, KeyArena","KeyArena","Seattle","WA","Washington","Seattle Redhawks men's basketball","Men","WAC","17,062","1962",-122.353988,47.6221
"384","Bakersfield, CA, Rabobank Arena","Rabobank Arena","Bakersfield","CA","California","Cal State Bakersfield",NA,"WAC","9,333","1998",-119.012967,35.372296
"385","Kansas City, MO, Swinney Recreation Center","Swinney Recreation Center","Kansas City","MO","Missouri","UMKC women","Women","WAC","1,500","1940",-94.5787546,39.0353618
